Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,92.181816,92.409088,88.636360,90.441559,88.282692,16806150
2020-12-17,92.519478,95.519478,91.357140,93.597404,91.363205,35966894
2020-12-18,92.857140,97.662338,92.032471,96.428574,94.126793,36974911
2020-12-21,97.272728,101.948051,96.753242,101.051949,98.639801,30176335
2020-12-22,100.649353,104.461037,98.136360,98.344154,95.996643,33373484
2020-12-23,100.662338,101.948051,94.805191,99.733765,97.353081,32201498
2020-12-24,101.201302,103.116882,100.000000,102.129868,99.692001,23343748
2020-12-25,100.649353,102.584412,98.701302,100.324677,97.929886,18961343
2020-12-28,100.324677,101.266235,96.168831,96.168831,93.873253,25068965
2020-12-29,94.805191,95.571426,90.584412,93.954544,91.711823,28461550
2020-12-30,94.155846,99.214287,93.103897,96.110390,93.816200,25260087
2020-12-31,96.525970,102.337662,90.259743,96.045456,93.752808,51715505
2021-01-04,94.155846,97.084412,91.623375,93.000000,90.780060,43723733
2021-01-05,92.116882,92.857140,85.441559,90.766235,88.599609,50263391
2021-01-06,90.766235,98.149353,90.519478,98.116882,95.774796,47222921
2021-01-07,98.311691,99.844154,94.961037,97.168831,94.849373,31763832
2021-01-08,98.733765,100.305191,95.785713,98.597404,96.243851,31441899
2021-01-11,96.103897,97.571426,91.577919,95.772728,93.486595,31552918
2021-01-12,95.454544,96.629868,93.129868,96.168831,93.873253,18560620
2021-01-13,96.428574,99.402596,94.545456,96.097404,93.803520,23513565
2021-01-14,94.480522,96.103897,90.181816,90.727272,88.561584,22573167
2021-01-15,89.610390,94.084412,88.753242,93.441559,91.211075,16760064
2021-01-18,93.051949,95.376625,89.798698,91.720779,89.531372,17531176
2021-01-19,91.558441,92.383118,85.636360,85.909088,83.858414,34451794
2021-01-20,85.792206,92.857140,84.558441,92.272728,90.070145,30856554
2021-01-21,93.318184,98.051949,93.318184,97.987015,95.648033,34921751
2021-01-22,98.051949,107.162338,97.402596,106.493507,103.951462,49724534
2021-01-25,109.090912,114.519478,106.448051,108.441559,105.853020,37803054
2021-01-26,108.435066,111.876625,105.253242,111.188309,108.534203,35895565
2021-01-27,111.038963,111.038963,101.948051,107.305191,104.743774,30234422
2021-01-28,105.480522,110.318184,103.181816,103.889610,101.409729,21870422
2021-01-29,105.714287,108.441559,101.090912,102.584412,100.135689,18831748
2021-02-01,102.623375,112.331169,102.623375,111.701302,109.034950,32888683
2021-02-02,112.142860,112.142860,106.831169,109.980522,107.355255,24375756
2021-02-03,109.168831,118.376625,109.168831,116.636360,113.852211,40697099
2021-02-04,114.935066,122.000000,114.532471,119.915581,117.053154,37118552
2021-02-05,120.194801,132.337662,120.194801,127.253242,124.215652,47435177
2021-02-08,127.597404,131.162338,124.025970,127.727272,124.678383,24992348
2021-02-09,130.298706,133.506500,124.805191,129.545456,126.453156,22932429
2021-02-10,127.928574,140.181824,126.623375,138.051941,134.756592,30296526
2021-02-18,137.662338,137.662338,120.506493,123.422073,120.475945,47990541
2021-02-19,120.779221,121.428574,113.636360,118.506493,115.677704,33266662
2021-02-22,120.038963,120.129868,110.974022,112.116882,109.440620,26168240
2021-02-23,109.935066,115.909088,109.662338,112.662338,109.973045,26017003
2021-02-24,111.935066,113.636360,104.324677,104.675323,102.176682,33387472
2021-02-25,106.409088,113.305191,106.298698,109.675323,107.057335,25609228
2021-02-26,109.129868,117.532471,106.493507,113.298698,110.594223,32348845
2021-03-01,115.259743,121.616882,114.448051,120.785713,117.902512,27843414
2021-03-02,123.103897,126.798698,113.454544,118.162338,115.341766,32354782
2021-03-03,115.961037,122.727272,113.636360,122.519478,119.594894,19753726
2021-03-04,120.129868,120.311691,110.454544,111.623375,108.958885,26215949
2021-03-05,108.857140,117.857140,108.597404,114.935066,112.191536,22196381
2021-03-08,115.616882,121.181816,106.493507,107.824677,105.250862,30584116
2021-03-09,107.857140,109.090912,95.454544,95.961037,93.670418,40886083
2021-03-10,99.558441,102.233765,96.753242,100.571426,98.170753,24980169
2021-03-11,100.655846,107.175323,100.655846,103.246750,100.782211,23024002
2021-03-12,106.493507,110.668831,103.948051,110.155846,107.526390,25781839
2021-03-15,108.961037,109.740257,100.714287,104.974022,102.468262,23205887
2021-03-16,109.090912,110.636360,97.311691,107.759743,105.187477,29289678
2021-03-17,107.142860,108.181816,102.961037,105.519478,103.000687,17764934
2021-03-18,107.792206,115.701302,106.493507,114.155846,111.430908,26153664
2021-03-19,110.324677,115.454544,109.097404,109.545456,106.930565,16440470
2021-03-22,110.850647,117.259743,110.181816,114.610390,111.874603,18844801
2021-03-23,116.993507,119.616882,112.987015,116.766235,113.978981,18922157
2021-03-24,114.935066,119.331169,113.733765,114.837662,112.096443,22446186
2021-03-25,114.285713,114.805191,107.512985,109.389610,106.778442,21280362
2021-03-26,110.714287,116.590912,110.603897,115.701302,112.939468,21151137
2021-03-29,116.818184,118.181816,113.506493,114.389610,111.659088,13739051
2021-03-30,113.649353,115.551949,111.610390,113.707794,110.993553,13330027
2021-03-31,114.376625,114.915581,108.571426,112.006493,109.332863,14053109
2021-04-01,112.006493,114.662338,109.746750,114.149353,111.424568,12005827
2021-04-02,115.584412,120.142860,113.636360,118.175323,115.354439,19974337
2021-04-06,117.662338,122.363632,117.214287,119.318184,116.470016,13407196
2021-04-07,122.896103,125.285713,119.857140,122.805191,119.873787,21615139
2021-04-08,123.571426,125.298698,120.519478,123.051949,120.114655,14698533
2021-04-09,122.506493,123.298698,119.162338,120.616882,117.737709,12768825
2021-04-12,119.474022,122.389610,112.201302,114.415581,111.684441,27138070
2021-04-13,113.597404,119.350647,113.363632,117.077919,114.283226,15411787
2021-04-14,116.928574,119.415581,115.129868,117.214287,114.416336,14341950
2021-04-15,116.305191,118.168831,115.006493,117.402596,114.600159,8158479
2021-04-16,117.532471,118.467529,112.227272,113.954544,111.234413,17107920
2021-04-19,113.961037,123.311691,113.142860,121.428574,118.530029,22235022
2021-04-20,123.474022,124.435066,117.207794,121.246750,118.352547,20474685
2021-04-21,123.188309,127.915581,122.077919,127.564934,124.519913,22872566
2021-04-22,128.058441,129.922073,125.402596,127.103897,124.069885,19258048
2021-04-23,128.129868,129.220779,125.000000,125.538963,122.542305,20638636
2021-04-26,129.220779,136.233765,128.246750,128.246750,125.185455,31379103
2021-04-27,128.896103,135.266235,127.480522,134.415588,131.207031,25770056
2021-04-28,135.720779,144.298706,134.415588,141.571426,138.192062,32261427
2021-04-29,141.889603,142.857147,133.116882,139.935059,136.594772,28633406
2021-04-30,138.642853,149.344162,138.642853,146.396103,142.901581,28767785
2021-05-06,133.116882,136.038956,125.928574,133.616882,130.427399,52256180
2021-05-07,133.766235,139.207794,130.064941,130.422073,127.308846,30678689
2021-05-10,135.714279,140.779221,134.415588,139.603897,136.271500,27681567
2021-05-11,137.987015,138.461044,132.448044,136.246750,132.994492,17515692
2021-05-12,135.064941,137.337662,130.961044,136.370132,133.114944,19311977
2021-05-13,136.688309,140.181824,134.422073,135.584412,132.347977,20988419
2021-05-14,136.363632,145.000000,135.720779,140.259735,136.911682,26805093
2021-05-17,147.402603,150.123383,144.811691,144.837662,141.380341,25047792
2021-05-18,147.402603,147.733765,136.038956,138.909088,135.593277,23880472
2021-05-19,139.610382,141.259735,134.285721,139.415588,136.087692,18457468
2021-05-20,137.077927,139.610382,135.435059,137.720779,134.433334,15285376
2021-05-21,137.597397,138.928574,128.311691,128.603897,125.534081,33588461
2021-05-24,130.525970,131.214279,122.402596,128.733765,125.660843,26762374
2021-05-25,135.714279,137.084412,129.870132,131.941559,128.792068,30230007
2021-05-26,129.220779,130.220779,123.350647,126.746750,123.721260,37800505
2021-05-27,125.974022,127.714287,122.922073,126.759743,123.733948,22263753
2021-05-28,126.909088,127.272728,120.850647,122.045456,119.132187,32352777
2021-05-31,124.681816,129.363632,124.019478,126.753242,123.727600,31388688
2021-06-01,126.818184,128.363632,123.376625,127.512985,124.469200,26163084
2021-06-02,127.922073,128.201294,119.220779,119.480522,116.628479,43129158
2021-06-03,119.487015,120.116882,116.110390,116.883118,114.093079,34474128
2021-06-04,116.883118,117.525970,111.006493,115.318184,112.565506,39128652
2021-06-07,117.532471,123.051949,116.006493,122.207794,119.290642,35159225
2021-06-08,122.077919,124.889610,120.259743,121.415581,118.517342,19970164
2021-06-09,121.409088,121.409088,116.870132,118.181816,115.360771,21410649
2021-06-10,119.441559,122.000000,117.857140,118.831169,115.994629,17773688
2021-06-11,120.785713,126.363632,119.090912,125.519478,122.523277,36585846
2021-06-15,125.688309,125.688309,118.896103,119.935066,117.072174,28864492
2021-06-16,119.727272,119.798698,115.798698,116.883118,114.093079,20131194
2021-06-17,118.246750,119.396103,115.253242,116.168831,113.395844,17028710
2021-06-18,116.883118,119.220779,115.824677,116.688309,113.902916,18679622
2021-06-21,115.590912,119.188309,114.285713,117.824677,115.012154,15424134
2021-06-22,118.090912,118.811691,107.467529,111.227272,108.572243,50498075
2021-06-23,111.610390,117.759743,111.415581,115.253242,112.502106,31630254
2021-06-24,115.512985,116.811691,112.318184,115.662338,112.901436,17540944
