Date,Close/Last,Volume,Open,High,Low
10/05/2022,$137.19,508364,$136.50,$138.56,$135.51
10/04/2022,$137.57,594185,$139.08,$140.65,$136.66
10/03/2022,$136.68,497102,$135.24,$138.20,$135.02
09/30/2022,$134.88,735183,$133.03,$136.25,$133.03
09/29/2022,$133.60,632782,$132.85,$135.31,$131.65
09/28/2022,$133.79,932639,$129.67,$135.62,$129.67
09/27/2022,$130.30,994290,$128.00,$133.4099,$128.00
09/26/2022,$127.65,1062271,$126.80,$132.50,$126.61
09/23/2022,$128.35,997037,$127.84,$129.66,$126.80
09/22/2022,$130.00,1039047,$127.72,$131.71,$126.5601
09/21/2022,$128.24,880444,$131.99,$134.00,$128.14
09/20/2022,$133.46,1413752,$128.00,$137.22,$127.53
09/19/2022,$133.22,1475607,$142.23,$142.79,$131.515
09/16/2022,$145.76,707542,$141.51,$146.14,$141.50
09/15/2022,$144.14,532457,$145.68,$145.68,$143.16
09/14/2022,$146.55,729068,$142.30,$146.75,$141.33
09/13/2022,$141.05,867543,$144.18,$146.00,$140.68
09/12/2022,$148.27,486860,$150.28,$152.1967,$148.06
09/09/2022,$150.91,785723,$147.51,$152.675,$146.98
09/08/2022,$147.20,615346,$142.74,$147.74,$142.3401
09/07/2022,$144.11,488368,$137.16,$144.57,$137.12
09/06/2022,$138.58,1056343,$146.14,$146.60,$138.47
09/02/2022,$147.90,511142,$148.57,$150.04,$146.38
09/01/2022,$147.81,588256,$145.62,$147.97,$143.86
08/31/2022,$144.64,644372,$148.00,$150.10,$144.31
08/30/2022,$147.08,483390,$146.39,$147.97,$145.04
08/29/2022,$144.63,650079,$140.00,$146.13,$139.03
08/26/2022,$142.60,983893,$145.34,$148.78,$142.31
08/25/2022,$148.56,564781,$149.02,$149.21,$145.7101
08/24/2022,$146.24,593184,$148.00,$149.00,$145.89
08/23/2022,$147.25,577047,$148.50,$150.19,$146.41
08/22/2022,$148.30,727534,$146.75,$150.50,$145.82
08/19/2022,$147.92,919934,$145.45,$149.75,$145.43
